CustomerID,frequency,recency,T,monetary_value
12625,3,385,596,1398.396667
12626,8,303,326,690.56
12627,6,130,140,618.4183333
12628,2,60,64,226.41
12629,1,38,423,853.86
12630,1,34,43,569.09
12631,4,637,694,685.8475
12632,1,44,564,410.56
12633,6,467,525,576.9616667
12634,1,13,548,130
12635,3,367,456,733.0266667
12637,10,476,543,758.597
12638,1,606,639,671.69
12639,2,389,627,529.395
12640,2,58,81,204.995
12642,2,82,107,323.405
12643,10,483,611,609.162
12644,3,566,695,415.52
12645,7,636,669,452.2357143
12646,1,45,49,615.28
12647,31,674,696,502.3270968
12648,3,548,702,302.0833333
12649,6,590,697,331.3916667
12651,3,131,465,92.91666667
12652,1,103,434,919.98
12653,2,378,526,1104.925
12654,3,285,295,145.1266667
12656,7,545,562,780.4042857
12657,2,67,78,512.37
12662,18,617,617,347.2322222
12663,1,45,669,85.65
12664,10,719,727,552.096
12665,2,346,670,72.4
12668,9,667,678,1069.698889
12669,2,106,256,803.865
12670,6,657,667,589.115
12672,1,266,595,225.9
12673,2,396,401,305.26
12674,3,169,207,461.2866667
12675,1,25,578,12.75
12676,8,459,483,284.8825
12677,1,112,667,204.4
12678,17,660,702,1891.228235
12679,3,225,283,106.32
12680,3,113,113,189.6766667
12681,42,713,727,686.1957143
12682,47,736,739,479.2323404
12683,16,723,727,710.9625
12684,6,206,213,299.0883333
12685,5,65,93,462.768
12689,1,102,127,736.58
12691,6,392,420,172.6333333
12693,6,395,522,187.2783333
12694,2,351,421,434.835
12695,6,659,666,152.2433333
12696,1,74,508,534.76
12697,2,141,169,283.545
12700,3,208,215,1282.52
12701,5,554,633,379.818
12703,3,614,685,149.6666667
12704,6,162,169,335.2133333
12705,11,518,533,928.8390909
12708,17,693,722,288.9523529
12709,28,716,731,1031.395714
12710,2,105,201,215.03
12711,1,66,677,789.75
12712,20,703,731,319.4615
12714,11,727,736,1219.187273
12716,1,130,133,375.59
12717,2,439,590,515.49
12719,1,60,65,361.35
12720,24,504,506,285.61625
12721,7,440,471,465.9328571
12722,3,65,150,231.57
12723,2,62,65,212.83
12724,6,530,535,291.02
12725,3,213,584,419.27
12726,10,596,624,363.324
12727,8,645,655,615.02625
12728,4,312,383,209.0825
12731,15,624,647,1609.954
12733,3,456,690,431.55
12734,2,40,392,254.65
12735,1,22,337,459.8
12739,3,316,394,427.0133333
12741,1,4,533,170
12744,7,540,591,3437.73
12745,2,197,683,361.925
12747,25,731,733,340.7132
12748,201,736,736,265.3447264
12749,6,518,521,1010.743333
12753,5,340,362,3567.76
12754,2,73,308,1482.585
12755,9,414,694,581.4788889
12757,8,196,211,834.2625
12758,6,623,739,1241.426667
12759,7,684,736,644.64
12761,1,7,464,25
12762,1,18,25,1436.93
12763,1,231,369,174
12765,5,169,641,251.516
12766,8,404,407,1005.57875
12770,1,246,456,1351.45
12775,6,392,409,252.3333333
12778,8,583,602,174.635
12779,13,700,737,469.4069231
12781,1,221,284,277.48
12782,10,515,519,433.014
12783,4,73,75,471.7225
12784,2,520,529,266.41
12785,2,368,732,366.75
12787,3,404,413,154.5533333
12788,3,65,528,94.6
12789,2,629,694,92.05
12790,1,218,410,324.92
12791,4,251,624,179.2075
12792,1,278,534,400.54
12793,2,67,401,272.74
12794,1,45,98,543.41
12797,1,59,424,254.03
12798,3,411,421,2325.68
12800,1,207,677,180.92
12802,6,377,563,273.695
12804,1,35,500,147.09
12805,3,294,675,389.4833333
12806,3,153,588,508.1533333
12808,4,426,462,146.7625
12809,2,470,647,561.13
12810,1,143,677,375.33
12811,4,167,427,187.7375
12813,2,193,694,721.8
12815,1,51,198,448.1
12816,1,81,176,253.55
12817,2,153,434,247.69
12820,10,732,735,254.122
12821,1,397,611,92.72
12822,1,17,87,257.98
12823,14,606,680,434.6428571
12825,1,120,641,303.8
12826,11,720,722,212.9590909
12827,2,39,44,106.2
12828,5,128,130,158.342
12829,2,214,550,146.5
12830,4,134,171,1148.2
12831,1,201,463,215.05
12832,1,66,98,115.23
12835,36,310,737,158.6594444
12836,13,680,739,473.2123077
12837,1,396,569,134.1
12838,9,559,592,305.3177778
12839,25,731,733,372.9248
12840,6,532,675,648.6616667
12841,38,515,519,174.0289474
12842,3,668,738,506.93
12843,27,662,727,241.1692593
12844,3,564,593,175.19
12845,3,23,290,96.33333333
12847,1,365,387,843.64
12849,5,560,591,515.534
12851,1,381,477,131.81
12853,6,539,673,582.4166667
12854,6,651,729,408.0883333
12855,2,30,402,114.76
12856,5,56,63,355.658
12857,5,474,684,696.68
12862,1,70,495,493.89
12863,5,537,589,432.04
12864,1,370,508,147.12
12865,3,450,476,760.1066667
12866,2,219,502,442.26
12867,12,698,724,628.5641667
12868,7,207,392,248.9585714
12870,2,249,624,733.825
12871,2,355,439,190.32
12872,11,411,737,261.5218182
12873,2,400,682,767.45
12874,1,169,554,459.16
12875,4,555,698,262.9275
12876,3,533,590,1065.416667
12877,19,688,691,139.0868421
12878,1,30,266,539.81
12879,2,47,91,216.36
12880,1,193,574,302.95
12882,1,24,33,991.2
12883,1,65,89,411.84
12885,1,60,123,529.87
12886,1,152,219,603.4
12888,1,41,255,81.36
12889,3,121,502,95.35
12890,1,363,387,376.72
12891,10,475,660,81.95
12895,1,44,86,105
12897,3,339,543,136.7
12898,1,197,660,152.64
12901,22,262,270,786.5790909
12904,1,154,172,251.37
12905,1,107,683,424.76
12906,1,67,78,983.22
12907,1,99,494,180.48
12908,4,454,630,364.5
12909,6,615,654,469.8466667
12910,9,598,621,530.9511111
12912,4,38,40,336.06
12913,12,735,739,478.7733333
12915,3,441,589,256.2666667
12916,6,547,685,683.4
12917,4,603,731,701.575
12919,5,161,169,225.798
12920,2,709,726,173.87
12921,49,730,739,713.7191837
12923,2,511,575,172.11
12924,10,643,731,225.985
12925,2,588,592,347.025
12926,3,315,726,384.4
12928,10,514,549,382.01
12930,1,93,171,194.24
12931,42,718,739,2171.127143
12932,6,129,668,212.3066667
12933,6,706,730,246.8066667
12935,12,605,607,313.7666667
12936,2,61,78,132.72
12937,8,722,737,365.94375
12939,15,633,697,1651.32
12940,1,33,87,538.42
12942,2,234,365,208.425
12943,1,47,605,180.65
12944,1,319,354,317.56
12945,1,369,657,462.95
12947,5,230,373,259.99
12948,8,722,738,273.61875
12949,15,707,737,915.4666667
12950,2,22,24,765.7
12951,14,691,699,217.53
12952,2,73,78,328.125
12953,1,513,522,329.85
12955,10,266,267,428.334
12956,3,419,725,156.2966667
12957,10,720,729,759.902
12958,1,183,583,300.45
12960,3,249,662,302.8
12962,1,106,113,95.85
12963,10,511,519,251.971
12967,2,25,383,830.45
12970,4,729,736,303.9025
12971,98,722,725,159.6239796
12972,3,249,662,230.5633333
12974,1,368,565,144.8
12975,4,298,734,414.615
12976,6,455,666,463.1266667
12977,2,355,511,144.465
12978,4,345,730,389.31
12980,20,581,738,774.579
12981,1,104,133,185.04
12982,7,364,606,291.8342857
12985,1,28,28,485
12986,6,260,688,404.3283333
12987,4,616,689,257.47
12989,27,727,730,486.6166667
12990,6,588,619,139.75
12991,2,366,389,251.88
12993,6,637,660,181.68
12994,2,264,268,310.91
12997,7,590,612,301.1371429
12998,2,162,654,309.94
12999,2,49,245,67.8
13000,3,620,726,178.2833333
13001,32,733,737,724.1475
13002,2,116,434,116.875
13003,2,109,214,45
13004,34,714,725,333.6561765
13005,3,284,457,256.65
13008,2,401,724,211.41
13010,1,274,648,153
13012,10,583,592,257.594
13013,26,725,726,397.7276923
13014,10,422,432,346.628
13015,8,550,603,730.5175
13016,1,50,123,364.64
13018,23,632,648,388.8895652
13019,5,355,734,194.99
13020,1,98,660,170.95
13021,15,731,735,310.2353333
13023,2,464,528,344.95
13024,1,112,582,308.04
13026,8,726,727,174.6375
13027,18,576,689,931.0666667
13028,1,23,45,305.38
13029,4,493,523,394.9
13030,1,357,368,350.08
13031,4,147,554,586.03
13032,5,408,460,458.026
13033,1,72,429,190.55
13034,2,347,401,321.385
13035,2,358,431,460.94
13037,10,599,737,360.176
13038,2,210,290,256.68
13039,3,139,723,282.6433333
13040,1,25,33,373.74
13041,3,139,589,180.99
13042,2,135,733,411.72
13044,10,410,701,467.07
13045,2,387,486,241.74
13046,2,426,456,314.655
13047,18,693,724,451.235
13048,8,668,682,456.81625
13049,3,337,401,386.8933333
13050,34,711,725,342.9002941
13051,1,41,619,80.8
13052,5,443,655,511.672
13055,2,351,429,607.205
13057,2,101,631,178.05
13058,2,127,151,111.925
13059,8,369,618,209.635
13064,5,579,591,285.438
13065,4,174,547,216.87
13066,1,8,32,318.99
13067,2,364,446,128.555
13068,1,309,319,179
13069,31,543,543,274.9635484
13070,3,541,733,199.1666667
13073,1,26,437,115.2
13074,3,213,724,355.1466667
13077,9,728,729,280.2455556
13078,54,736,739,525.6987037
13079,5,413,417,44.02
13080,3,430,609,70.14333333
13081,24,721,732,2273.032917
13082,15,592,718,476.238
13083,2,421,425,151.875
13085,4,582,739,445.545
13089,131,736,738,862.9680153
13090,21,486,494,605.9819048
13091,1,702,730,345.82
13092,11,598,668,153.8390909
13093,42,461,736,1265.494762
13094,12,368,389,160.61
13097,22,707,739,580.8804545
13098,25,316,317,1129.3456
13101,3,448,682,175.6166667
13102,32,581,582,334.639375
13103,2,538,577,293.15
13104,8,651,654,201.555
13106,1,280,413,76.5
13107,8,630,674,580.84625
13108,1,63,435,350.06
13109,2,492,551,393.27
13110,10,708,739,259.469
13113,35,621,621,506.1851429
13115,9,588,599,526.6888889
13117,17,602,623,125.1435294
13118,7,420,439,313.4342857
13122,1,146,240,18.72
13123,1,57,529,151.31
13124,3,296,385,1252.11
13126,11,643,647,300.9054545
13129,1,77,529,124.5
13131,5,646,669,532.472
13133,2,186,459,54.9
13134,5,331,416,440.276
13135,1,295,491,3096
13136,8,676,732,715.68375
13137,15,492,502,450.3793333
13138,6,374,396,160.3983333
13139,6,421,437,844.1566667
13140,4,383,491,200.655
13141,14,647,731,521.7592857
13144,1,99,431,110.95
13145,6,560,599,171.0866667
13147,3,89,99,198
13148,17,704,733,480.3776471
13149,3,275,289,433.1066667
13150,1,146,630,273.45
13151,2,332,627,779.685
13152,6,278,695,277.6516667
13154,2,337,736,643.87
13155,5,458,491,226.956
13156,2,292,677,396.31
13157,7,592,641,784.88
13158,4,294,388,300.265
13159,3,107,115,324.0133333
13161,1,187,500,112.75
13162,15,614,736,572.086
13164,1,99,668,96.4
13165,2,367,413,510.74
13166,1,131,414,417.2
13167,4,372,390,197.8325
13168,4,506,542,324.8975
13169,2,499,562,356.44
13171,2,278,299,164.03
13173,9,726,730,233.0133333
13174,10,720,736,736.497
13175,1,154,736,512.3
13177,1,366,430,282.45
13178,20,698,724,672.02
13183,14,628,635,467.3385714
13184,8,276,290,182.05375
13186,2,89,128,293.775
13187,1,287,624,236.02
13189,1,97,115,133.68
13190,2,189,733,211.78
13192,4,592,687,458.415
13194,1,286,421,60.7
13196,5,606,617,573.774
13198,7,424,434,593.1985714
13199,56,732,735,282.6066071
13200,3,107,126,183.59
13201,3,140,642,305.4366667
13202,6,337,731,210.0166667
13203,9,714,723,256.4833333
13206,11,333,733,661.8290909
13207,3,597,612,107.22
13208,8,679,737,239.3975
13209,10,655,685,825.221
13211,8,724,734,297.86625
13212,1,42,61,495.36
13213,9,512,568,395.1077778
13214,6,229,646,269.4333333
13217,3,534,656,177.9933333
13220,4,497,575,204.8225
13221,1,119,359,349.25
13223,5,466,666,150.504
13224,1,91,151,943.69
13225,14,720,723,1059.626429
13226,1,120,393,108.21
13230,28,627,631,208.8664286
13232,6,231,243,201.82
13233,3,621,695,295.2766667
13234,1,60,733,118.1
13236,1,82,106,305.62
13238,5,573,590,177.926
13239,4,241,502,328.74
13240,6,557,653,220.0816667
13242,5,557,669,116.48
13243,2,428,631,484.38
13245,1,382,432,430.5
13246,10,507,525,319.458
13247,3,65,82,65.35
13248,1,65,189,78.21
13249,8,593,685,191.56625
13250,1,42,502,120
13252,1,231,625,52.4
13253,3,548,704,658.9066667
13255,2,503,512,199.755
13258,4,389,400,218.3075
13259,6,638,699,208.415
13261,1,17,285,99
13262,2,337,600,170.52
13263,36,412,413,230.1486111
13265,4,220,273,446.305
13266,18,712,723,324.4161111
13267,26,731,733,350.8946154
13268,9,250,267,280.6911111
13269,20,737,738,416.724
13272,1,58,89,135.6
13275,1,249,632,61.5
13276,4,579,642,376.87
13277,6,524,539,86.06666667
13278,3,570,610,379.3866667
13280,5,522,644,362.966
13282,3,388,406,377.38
13283,3,581,640,81.85333333
13285,5,601,624,604.858
13287,2,102,705,258.605
13288,4,224,667,140.4625
13291,10,512,667,309.142
13292,4,488,526,196.015
13293,5,277,669,191.268
13294,2,457,646,436.87
13295,3,217,576,265.1566667
13296,5,440,577,134.232
13297,5,535,542,742.41
13299,2,260,528,433.76
13300,2,405,574,485.265
13301,3,189,292,148.06
13302,1,371,526,63.75
13304,3,319,670,303.38
13305,15,635,639,213.5153333
13307,2,472,592,22.8
13308,3,574,596,461.8366667
13309,5,385,392,291.358
13310,4,374,402,322.9375
13311,1,146,150,108.46
13313,10,716,738,306.143
13314,2,72,73,138.16
13316,9,602,639,1213.717778
13317,14,661,727,433.5193571
13318,2,36,37,168.9
13319,39,729,734,530.6825641
13320,4,400,478,476.25
13321,1,14,86,308.32
13323,4,81,84,166.8875
13324,11,527,563,923.9372727
13327,18,684,722,456.6844444
13329,5,705,736,894.824
13330,5,563,655,433.522
13333,2,248,659,426.78
13334,4,571,653,1256.37
13338,3,547,704,562.84
13340,8,611,656,2006.8775
13344,1,210,277,855.54
13346,4,134,596,63.375
13350,1,63,79,332.55
13357,3,370,627,754.9133333
13359,1,340,403,439.56
13360,3,270,701,283.7
13361,1,145,617,633.25
13362,6,416,425,764.2683333
13363,2,392,409,496.25
13365,1,184,217,1524.77
13368,3,167,423,219.6
13371,1,127,632,1108.65
13373,5,674,734,1367.754
13374,1,35,449,123.2
13375,1,356,444,778.65
13376,2,135,234,321.88
13377,1,249,645,737.56
13379,2,110,136,218.135
13381,11,708,739,746.0881818
13382,4,452,732,283.135
13384,9,470,500,633.7355556
13386,1,23,437,521.76
13388,1,472,603,677.1
13389,2,221,232,270.035
13393,3,150,733,374.1766667
13394,18,738,739,350.9538889
13395,2,236,421,333.675
13396,1,290,319,973.72
13397,9,617,689,318.7633333
13398,1,256,448,457.34
13399,2,55,519,87.75
13402,3,437,564,312.0833333
13403,2,707,724,75.45
13404,1,211,212,34.68
13405,5,651,725,213.4702
13406,1,204,631,428.76
13407,2,84,662,430.34
13408,75,735,736,662.18856
13410,8,708,732,265.105
13413,3,49,688,137.3166667
13414,5,470,603,454.856
13415,2,257,729,158.625
13416,2,694,737,356.25
13417,4,666,670,266.3475
13418,24,718,729,447.8291667
13420,1,21,170,104.05
13421,5,624,664,649.202
13425,4,471,579,641.7675
13426,20,731,731,378.289
13427,5,704,723,182.106
13428,1,504,514,201.78
13429,3,65,75,225.4
13430,1,68,86,343.14
13431,6,593,660,503.7983333
13432,1,41,612,308.8
13433,3,196,697,187.7066667
13434,4,582,656,331.92
13435,8,495,500,515.435
13437,6,176,190,327.86
13439,2,271,526,351.165
13440,2,28,451,25.275
13441,1,340,431,296.64
13442,2,71,739,110.935
13443,5,230,678,208.678
13444,1,132,506,483.79
13446,10,234,664,334.07
13447,2,12,35,452.715
13448,10,718,734,782.758
13450,12,577,603,323.3666667
13451,10,602,628,622.372
13452,2,213,472,295
13453,2,237,402,178.49
13455,5,707,731,383.528
13456,5,190,207,311.812
13457,1,49,738,35.72
13458,15,381,388,709.1293333
13459,1,59,683,529.62
13460,1,20,49,75.98
13461,5,559,597,764.68
13462,4,474,726,245.5075
13464,4,560,618,699.575
13465,1,140,586,319.62
13466,3,444,628,250.3466667
13467,1,26,36,301.25
13468,69,736,737,180.855942
13470,1,16,115,49.5
13471,3,46,47,520.0566667
13472,1,92,555,330.06
13473,6,665,725,378.17
13474,2,259,495,147.995
13475,3,107,298,371.5533333
13476,4,466,644,455.1675
13477,9,647,684,266.2744444
13478,3,209,678,609.8633333
13479,3,277,477,154.67
13480,1,264,680,133.88
13481,8,691,736,439.955
13482,1,395,627,184.64
13484,2,398,639,312.47
13485,8,504,737,356.74
13486,2,77,155,460.125
13487,4,678,735,185.73
13488,18,667,684,769.735
13489,3,189,294,124.08
13491,26,682,733,163.2984615
13492,2,78,214,477.27
13493,1,12,287,439.28
13495,9,726,733,490.1277778
13496,1,349,359,152.32
13497,5,388,670,189.976
13499,4,252,269,250.22
13500,3,378,401,388.9233333
13501,2,282,570,1144.97
13502,4,532,548,118.15
13503,4,591,662,243.5925
13505,3,160,232,1127.98
13506,4,144,460,227.69
13507,3,142,145,412.26
13508,1,399,642,110.97
13509,7,499,507,139.96
13510,9,718,719,476.8433333
13512,3,323,583,186.6966667
13513,2,530,656,262.475
13514,3,610,683,156.5333333
13515,5,572,644,215.544
13516,3,396,417,463.1366667
13517,2,120,179,513.28
13519,1,364,442,122.75
13520,10,665,723,601.66
13521,2,9,10,397.125
13523,4,369,402,991.22
13524,4,179,219,130.245
13525,1,234,248,345.9
13527,10,655,688,432.249
13529,1,126,204,126.66
13531,4,532,737,280.3425
13533,1,85,267,124.15
13534,25,518,520,301.1208
13536,6,74,75,498.2033333
13537,1,26,451,302
13538,11,633,676,225.3954545
13539,6,505,590,205.9783333
13540,1,189,656,263.14
13541,1,143,570,474.9
13542,16,354,730,236.34875
13543,1,54,688,851.16
13544,4,605,644,152.22
13545,1,154,544,246.75
13546,4,412,424,223.4575
13548,2,375,471,339.08
13549,7,362,387,131.1714286
13551,1,348,667,91.8
13552,13,593,659,478.1507692
13554,5,66,446,304.58
13555,8,617,690,1009.57
13556,1,6,435,93.6
13557,11,704,732,250.8872727
13558,3,63,68,133.94
13559,1,31,543,660
13561,9,435,650,178.2111111
13562,6,614,695,649.7966667
13563,1,56,140,466.65
13564,25,594,738,655.1924
13565,2,392,411,120.11
13566,4,599,639,349.37
13567,2,113,541,332.425
13569,3,411,428,163.5266667
13571,25,720,732,177.0408
13573,4,587,637,205.6675
13575,4,153,176,160.88
13576,27,722,732,402.732963
13577,10,701,726,338.942
13579,4,646,660,247.6975
13581,1,105,414,118
13582,1,228,617,164.18
13583,1,525,680,781.03
13584,2,370,676,192.2
13585,2,209,739,335.895
13587,2,601,664,552.6
13588,8,240,255,295.70625
13589,5,720,734,170.318
13590,16,728,739,373.0475
13591,6,662,726,340.1233333
13592,3,229,264,57.08
13593,12,539,647,417.7116667
13594,1,433,485,396.97
13595,2,130,646,126.095
13596,1,7,12,285.44
13597,1,2,402,16.5
13598,3,605,652,164.53
13599,22,738,739,416.7995455
13600,1,322,634,219.52
13601,3,501,546,325.8533333
13602,3,496,560,285.2633333
13605,1,184,571,352.78
13606,2,282,311,103.365
13607,1,362,402,675.51
13610,13,692,704,135.8584615
13611,9,648,737,328.8888889
13613,2,209,661,285.925
13614,5,527,551,405.868
13615,7,363,681,780.6257143
13616,1,124,692,105.85
13617,7,455,495,166.65
13619,1,131,675,124.7
13623,9,708,738,211.6577778
13626,1,127,379,257.23
13627,6,581,640,323.5833333
13629,18,644,667,706.1588889
13630,6,280,285,288.7733333
13631,6,168,267,498.4033333
13632,7,587,611,468.5171429
13634,14,666,699,338.8321429
13635,3,672,739,872.2633333
13636,4,249,285,198.655
13637,2,174,226,193.95
13639,1,362,436,1033.34
13641,3,95,735,264.1233333
13642,1,217,432,312.28
13643,9,701,732,204.9966667
13644,3,89,105,591.0566667
13647,6,594,603,454.3633333
13648,6,339,739,250.155
13649,5,271,527,228.654
13650,8,667,683,347.85875
13651,2,346,381,47.1
13652,4,608,653,467.0225
13654,9,695,738,683.1133333
13655,5,477,591,351.486
13656,3,431,595,251.2333333
13657,1,191,201,229.8
13658,6,664,673,840.54
13659,10,456,661,446.365
13662,6,574,659,322.19
13663,4,467,646,375.515
13665,2,118,504,539.425
13666,3,676,736,36.13333333
13668,34,727,729,362.7405882
13669,2,357,407,109.275
13672,2,430,731,93.195
13673,1,14,32,183.32
13675,1,133,284,178.38
13676,1,80,619,115.6
13677,1,116,520,277.28
13679,2,243,736,77.23
13680,11,735,736,981.9454545
13681,3,138,155,208.1233333
13684,3,336,621,134.7833333
13685,5,58,60,357.056
13686,2,219,401,91.8
13689,1,381,444,910
13692,4,396,420,497.33
13693,8,359,733,229.78375
13694,82,733,736,2355.009756
13695,14,546,577,178.8664286
13696,2,246,667,857.2
13698,1,86,682,267.43
13699,1,395,550,308.58
13700,10,645,671,254.267
13703,1,97,415,99.5
13704,8,83,88,277.4375
13705,6,617,624,244.4566667
13706,1,324,626,330.79
13707,3,269,536,881.7866667
13709,11,695,698,660.4190909
13710,2,581,612,140.76
13711,7,507,725,237.9657143
13712,1,364,610,228.84
13713,2,175,583,246.39
13715,15,357,638,488.2906667
13717,7,453,485,226.19
13718,1,49,295,192.5
13719,10,556,571,240.172
13720,3,138,254,177.9
13721,1,359,395,524.14
13722,5,515,646,994.174
13723,4,394,611,218.4625
13725,7,259,308,147.5585714
13726,1,62,100,786.98
13727,5,703,731,188.71
13728,15,695,731,181.3446667
13729,2,250,685,183.425
13730,1,26,161,445.85
13731,1,27,246,302.47
13733,1,326,736,337.93
13734,2,94,602,3208.045
13735,11,703,727,843.0136364
13736,5,729,734,408.326
13739,1,509,527,216.9
13740,4,498,738,321.52
13741,2,146,217,252.735
13742,10,304,320,265.089
13743,6,257,259,199.98
13744,1,197,292,263.2
13745,1,384,546,300.04
13747,1,51,424,79.6
13748,7,644,739,270.1785714
13750,10,564,617,328.908
13752,6,403,527,195.8966667
13753,3,450,737,484.1233333
13754,2,286,437,141.3
13755,7,60,63,235.0357143
13756,20,723,725,423.685
13758,14,728,739,550.145
13759,1,38,71,99
13760,4,539,593,266.33
13761,4,607,657,410.0675
13762,4,481,699,506.28
13763,2,372,435,1010.48
13764,4,572,642,495.845
13767,58,737,739,563.8925862
13768,1,4,731,356.55
13769,17,722,724,309.6394118
13770,3,309,731,203.68
13771,6,589,653,809.8766667
13772,6,622,655,422.9033333
13773,1,264,660,210.14
13777,45,738,738,966.4053333
13778,3,462,565,257.26
13780,2,400,407,180.005
13781,2,472,722,232.195
13782,12,722,734,137.8066667
13783,3,187,674,351.07
13784,13,441,450,193.9261538
13785,2,32,460,231.13
13786,5,370,737,480.98
13787,5,620,695,211.632
13791,1,41,168,579
13792,2,356,422,97.775
13795,3,249,637,204.6
13797,2,211,647,412.48
13798,98,731,732,764.7435714
13799,8,528,644,303.15875
13800,2,428,737,600.43
13802,17,524,662,1520.844118
13803,2,363,618,452.69
13804,7,406,436,374.0557143
13805,1,77,129,424.36
